iter	Passed	Remaining
641	146033	38896
642	146247	38665
643	146473	38437
644	146706	38212
645	146936	37985
646	147168	37758
647	147384	37528
648	147604	37299
649	147829	37071
650	148063	36845
651	148300	36620
652	148532	36393
653	148764	36167
654	148961	35932
655	149184	35704
656	149387	35470
657	149596	35239
658	149810	35008
659	150024	34778
660	150234	34547
661	150446	34316
662	150658	34085
663	150872	33855
664	151098	33627
665	151324	33400
666	151523	33167
667	151726	32934
668	151934	32703
669	152162	32476
670	152373	32245
671	152589	32016
672	152792	31784
673	153014	31556
674	153222	31325
675	153440	31096
676	153675	30871
677	153894	30642
678	154110	30413
679	154316	30182
680	154567	29960
681	154843	29742
682	155112	29523
683	155358	29300
684	155610	29077
685	155845	28851
686	156101	28629
687	156373	28410
688	156625	28187
689	156884	27966
690	157109	27738
691	157350	27513
692	157596	27289
693	157824	27062
694	158057	26835
695	158272	26606
696	158483	26375
697	158707	26148
698	158947	25922
699	159183	25696
700	159424	25471
701	159652	25244
702	159883	25017
703	160106	24789
704	160316	24559
705	160550	24332
706	160758	24102
707	160976	23873
708	161166	23640
709	161365	23409
710	161586	23181
711	161797	22951
712	162018	22723
713	162228	22493
714	162429	22263
715	162635	22033
716	162852	21804
717	163063	21575
718	163274	21346
719	163488	21117
720	163684	20886
721	163882	20655
722	164081	20425
723	164299	20197
724	164515	19968
725	164737	19741
726	164970	19515
727	165187	19286
728	165417	19060
729	165650	18834
730	165878	18607
731	166105	18380
732	166347	18155
733	166586	17929
734	166812	17702
735	167050	17476
736	167286	17250
737	167498	17022
738	167720	16794
739	167957	16568
740	168185	16341
741	168412	16114
742	168644	15888
743	168876	15661
744	169104	15435
745	169328	15207
746	169560	14981
747	169791	14754
748	170041	14529
749	170277	14303
750	170473	14073
751	170673	13844
752	170878	13615
753	171116	13389
754	171356	13163
755	171599	12938
756	171831	12711
757	172051	12483
758	172276	12256
759	172502	12029
760	172736	11803
761	172975	11577
762	173201	11350
763	173430	11123
764	173646	10895
765	173873	10668
766	174109	10442
767	174336	10215
768	174551	9987
769	174774	9760
770	174989	9532
771	175207	9305
772	175440	9078
773	175660	8851
774	175886	8624
775	176105	8396
776	176330	8169
777	176550	7942
778	176804	7716
779	177066	7491
780	177278	7263
781	177495	7036
782	177712	6808
783	177930	6581
784	178155	6354
785	178407	6128
786	178642	5901
787	178868	5674
788	179092	5447
789	179312	5220
790	179554	4993
791	179784	4767
792	180003	4539
793	180227	4312
794	180451	4085
795	180677	3858
796	180918	3631
797	181161	3405
798	181404	3178
799	181642	2951
800	181877	2724
801	182109	2497
802	182346	2270
803	182582	2043
804	182807	1816
805	183034	1589
806	183262	1362
807	183491	1135
808	183703	908
809	183951	681
810	184162	454
811	184378	227
812	184600	0
